Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
G R Infraprojects Ltd.,GRINFRA,Construction,EQ,1105.55,1105.55,1080.3,1100.55,1093,-7.55,-0.69,6544,7140616.48,2267.65,1078.85,-,-22.37
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,Chemicals,EQ,131.3,131.8,127.1,132,130.6,-1.4,-1.06,1507206,194535078.4,198.8,98.1,14.09,-20.82
Gujarat State Petronet Ltd.,GSPL,Oil Gas & Consumable Fuels,EQ,220.4,221.95,215.55,217.9,217.95,0.05,0.02,882222,192994884.7,379.2,209.45,-34.64,-14.38
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,Chemicals,EQ,683.3,692.95,664.4,689.35,689,-0.35,-0.05,215330,146672029.5,1044.7,401,71.35,-14.21
Gujarat Gas Ltd.,GUJGASLTD,Oil Gas & Consumable Fuels,EQ,419,425.95,416.7,418.85,423,4.15,0.99,1078048,455033280.3,786,403.55,-36.61,-25.11
Hindustan Aeronautics Ltd.,HAL,Capital Goods,EQ,1763,1779.7,1727.4,1769.8,1737.7,-32.1,-1.81,430150,750263328.5,1972.55,1010,73.2,-3.73
Happiest Minds Technologies Ltd.,HAPPSTMNDS,Information Technology,EQ,826.4,826.4,813,828.95,816.8,-12.15,-1.47,227373,186004756.4,1580,785.6,-17.44,-8.41
Hathway Cable & Datacom Ltd.,HATHWAY,Media Entertainment & Publication,EQ,16.3,16.45,16.1,16.25,16.35,0.1,0.62,670321,10886013.04,28.7,14.35,-37.26,-10.22
Hatsun Agro Product Ltd.,HATSUN,Fast Moving Consumer Goods,EQ,874.7,886.25,869.75,881.15,875,-6.15,-0.7,88204,77170561.64,1525.95,837.6,-1.4,-4.76
Havells India Ltd.,HAVELLS,Consumer Durables,EQ,1099.85,1120,1092.25,1098.2,1111.65,13.45,1.22,1848135,2049858935,1504.45,978,12.04,-8.62
HCL Technologies Ltd.,HCLTECH,Information Technology,EQ,964.5,981.45,964.2,973.25,979.05,5.8,0.6,2827579,2746681965,1377.75,944.05,-1.04,-6.49
Housing Development Finance Corporation Ltd.,HDFC,Financial Services,EQ,2155,2224.05,2133.1,2170.85,2205.3,34.45,1.59,2776869,6047243159,3021.1,2026,-12.3,-5.89
HDFC Asset Management Company Ltd.,HDFCAMC,Financial Services,EQ,1782,1839,1779.7,1792.35,1833.3,40.95,2.28,447884,814118746.8,3365,1690,-38.56,-5.51
HDFC Bank Ltd.,HDFCBANK,Financial Services,EQ,1343.95,1360,1330.05,1348,1354.95,6.95,0.52,5736226,7722508977,1725,1271.6,-10.01,-2.95
HDFC Life Insurance Company Ltd.,HDFCLIFE,Financial Services,EQ,549.95,567.3,540.55,550,567,17,3.09,2052291,1143741774,775.65,497.05,-19.86,-8.17
H.E.G. Ltd.,HEG,Capital Goods,EQ,995.8,998.95,963.3,997.85,984.9,-12.95,-1.3,69104,67787568.8,2629,890.8,-54.45,-11.08
Hemisphere Properties India Ltd.,HEMIPROP,Realty,EQ,105.85,106,102.75,105.3,105,-0.3,-0.28,462015,48266707.05,165.9,95,-23.67,2.43
